OBJECTID,GEOID10,CountyName,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
1,26123,Newaygo County,396,328,0.8282828,24021582979.8911,632812.977085134
2,26157,Tuscola County,614,502,0.8175896,22695400708.8223,779820.501965389
3,26141,Presque Isle County,110,101,0.9181818,19128549419.0273,795378.97514926
4,26025,Calhoun County,1470,1180,0.8027211,20025380011.9006,570440.083723279
5,26111,Midland County,930,812,0.8731183,14721619600.1348,495513.005528722
6,26019,Benzie County,165,128,0.7757576,9699278927.04883,402442.945354589
7,26069,Iosco County,308,242,0.7857143,15795703850.9287,558972.296691794
8,26001,Alcona County,68,62,0.9117647,19377597112.7266,566304.269976449
9,26045,Eaton County,1561,1213,0.777066,16151140932.7908,508013.685308652
10,26053,Gogebic County,130,113,0.8692307,32001632570.2168,1149276.00981976
11,26011,Arenac County,124,116,0.9354839,10262295618.6914,746155.712160166
12,26063,Huron County,376,342,0.9095744,23368745910.7197,1536839.27340273
13,26137,Otsego County,231,203,0.8787879,14687205570.3721,503544.355754804
14,26153,Schoolcraft County,77,68,0.8831169,34173547023.3652,996663.392162864
15,26081,Kent County,7290,6032,0.8274348,24304249668.7842,636701.730868584
16,26051,Gladwin County,201,176,0.8756219,14386030926.8574,485584.309192273
17,26027,Cass County,444,381,0.8581081,14172390896.2777,477900.863558619
18,26071,Iron County,93,86,0.9247312,33873396031.0391,865546.303539049
19,26033,Chippewa County,318,251,0.7893082,50604814350.4492,1981984.29916654
20,26023,Branch County,481,412,0.8565488,14489142975.5898,481786.145913418
21,26103,Marquette County,596,525,0.8808725,52315798860.6504,1275816.59910491
22,26155,Shiawassee County,859,781,0.9091967,15078093079.4536,492754.266553044
23,26005,Allegan County,1135,1004,0.8845815,23483880585.4141,631949.512675524
24,26131,Ontonagon County,55,51,0.9272727,37188526551.5215,977967.023390447
25,26099,Macomb County,9738,8517,0.8746149,13491988600.1875,597095.502010507
26,26159,Van Buren County,1177,988,0.8394223,17371312550.8008,564961.87124767
27,26147,St. Clair County,2143,1790,0.8352777,20488236262.4878,1292564.54509659
28,26085,Lake County,22,20,0.9090909,16013054512.0059,506596.242330039
29,26113,Missaukee County,75,66,0.88,16004857426.8184,507412.624442595
30,26003,Alger County,55,46,0.8363636,26218608046.5664,1285343.01837381
31,26073,Isabella County,476,386,0.8109244,16104720501.9092,508222.332576489
32,26009,Antrim County,316,279,0.8829114,14654166375.876,593397.631755048
