GEOID10,CountyName,CohortCount,GradCnt,GradRate
26123,Newaygo County,396,328,0.8282828
26157,Tuscola County,614,502,0.8175896
26141,Presque Isle County,110,101,0.9181818
26025,Calhoun County,1470,1180,0.8027211
26111,Midland County,930,812,0.8731183
26019,Benzie County,165,128,0.7757576
26069,Iosco County,308,242,0.7857143
26001,Alcona County,68,62,0.9117647
26045,Eaton County,1561,1213,0.777066
26053,Gogebic County,130,113,0.8692307
26011,Arenac County,124,116,0.9354839
26063,Huron County,376,342,0.9095744
26137,Otsego County,231,203,0.8787879
26153,Schoolcraft County,77,68,0.8831169
26081,Kent County,7290,6032,0.8274348
26051,Gladwin County,201,176,0.8756219
26027,Cass County,444,381,0.8581081
26071,Iron County,93,86,0.9247312
26033,Chippewa County,318,251,0.7893082
26023,Branch County,481,412,0.8565488
26103,Marquette County,596,525,0.8808725
26155,Shiawassee County,859,781,0.9091967
26005,Allegan County,1135,1004,0.8845815
26131,Ontonagon County,55,51,0.9272727
26099,Macomb County,9738,8517,0.8746149
26159,Van Buren County,1177,988,0.8394223
26147,St. Clair County,2143,1790,0.8352777
26085,Lake County,22,20,0.9090909
26113,Missaukee County,75,66,0.88
26003,Alger County,55,46,0.8363636
26073,Isabella County,476,386,0.8109244
26009,Antrim County,316,279,0.8829114
26047,Emmet County,362,335,0.9254144
26095,Luce County,40,40,1.0
26143,Roscommon County,92,77,0.8369565
26075,Jackson County,1458,1188,0.8148148
26061,Houghton County,317,267,0.8422713
26109,Menominee County,193,164,0.8497409
26041,Delta County,283,222,0.7844523
26149,St. Joseph County,664,555,0.8358434
26031,Cheboygan County,240,220,0.9166667
26139,Ottawa County,3176,2866,0.9023929
26091,Lenawee County,1146,1020,0.8900524
26043,Dickinson County,306,268,0.875817
26007,Alpena County,323,264,0.8173375
26049,Genesee County,4528,3690,0.8149293
26129,Ogemaw County,191,150,0.7853403
26115,Monroe County,1766,1587,0.898641
26165,Wexford County,291,227,0.7800688
26037,Clinton County,641,575,0.8970359
26015,Barry County,622,533,0.8569132
26119,Montmorency County,117,88,0.7521368
26107,Mecosta County,528,435,0.8238636
26013,Baraga County,46,41,0.8913044
26055,Grand Traverse County,963,820,0.8515057
26017,Bay County,1115,921,0.826009
26151,Sanilac County,493,411,0.8336714
26127,Oceana County,209,188,0.8995215
26067,Ionia County,661,557,0.8426626
26093,Livingston County,2230,2029,0.9098655
26163,Wayne County,19810,16309,0.8232711
26021,Berrien County,1819,1515,0.8328752
26087,Lapeer County,811,715,0.8816276
26097,Mackinac County,83,73,0.8795181
26065,Ingham County,2978,2326,0.7810611
26039,Crawford County,192,152,0.7916667
26077,Kalamazoo County,2536,1993,0.7858833
26059,Hillsdale County,406,336,0.8275862
26121,Muskegon County,1939,1571,0.8102114
26125,Oakland County,14617,12915,0.8835602
26057,Gratiot County,425,372,0.8752941
26133,Osceola County,326,282,0.8650306
26145,Saginaw County,2037,1736,0.8522336
26135,Oscoda County,54,44,0.8148148
26029,Charlevoix County,208,192,0.9230769
26117,Montcalm County,853,695,0.8147714
26105,Mason County,305,262,0.8590164
26035,Clare County,198,176,0.8888889
26079,Kalkaska County,146,116,0.7945206
26101,Manistee County,488,294,0.602459
26161,Washtenaw County,3359,3000,0.893123
