Cat ID,Age,Sex,Breed,Type of outdoor access,Restrictions day/night,Ad libitum access to feed,Nature,Busy road,Area,Municipality,Region
Cat 01,7 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Suburban,Gribskov,Capital Region of Denmark
Cat 02,1 year,A neutered female,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Suburban,Gribskov,Capital Region of Denmark
Cat 03,2 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Cottage,Gribskov,Capital Region of Denmark
Cat 04,8 years,A neutered male,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,No,Yes,Yes,Cottage,Gribskov,Capital Region of Denmark
Cat 05,3 years,A neutered male,Bengal,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Cottage,Gribskov,Capital Region of Denmark
Cat 06,4 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Cottage,Gribskov,Capital Region of Denmark
Cat 07,3 years,A neutered female,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Cottage,Gribskov,Capital Region of Denmark
Cat 08,3 years,A neutered female,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Cottage,Gribskov,Capital Region of Denmark
Cat 09,2 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Rural,Gribskov,Capital Region of Denmark
Cat 10,9 years,A neutered male,Birman,Indoor cat with outdoor access via window or door,The cat is typically let out during the day and is indoors at night,Yes,Yes,No,Rural,Stevns,Region Zealand
Cat 11,12 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Industry,Gribskov,Capital Region of Denmark
Cat 12,13 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Industry,Gribskov,Capital Region of Denmark
Cat 13,3 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out during the day and is indoors at night,No,Yes,No,Rural,Gribskov,Capital Region of Denmark
Cat 14,13 years,A neutered male,Norwegian Forest cat,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,No,Yes,Urban,Rødovre,Capital Region of Denmark
Cat 15,9 years,A neutered female,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,No,Yes,Urban,Rødovre,Capital Region of Denmark
Cat 16,8 years,A neutered male,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Cottage,Gribskov,Capital Region of Denmark
Cat 17,4 years,A neutered female,Other purebred cat,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,No,No,Industry,Gribskov,Capital Region of Denmark
Cat 18,7 years,A neutered male,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,No,Yes,Urban,København,Capital Region of Denmark
Cat 19,2 years,An intact male,Domestic shorthair,Outdoor cat or farm cat which is rarely or never indoors,,Yes,Yes,No,Rural,Furesø,Capital Region of Denmark
Cat 20,4 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,No,Yes,Yes,Rural,Thisted,North Denmark Region
Cat 21,7 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out during the day and is indoors at night,Yes,Yes,No,Suburban,Greve,Region Zealand
Cat 22,12 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out at night and is indoors during the day,Yes,Yes,No,Rural,Furesø,Capital Region of Denmark
Cat 23,12 years,A neutered female,Mixed breed,Indoor cat with outdoor access via window or door,The cat is typically let out at night and is indoors during the day,Yes,No,Yes,Suburban,Horsens,Central Denmark Region
Cat 24,10 years,A neutered male,Domestic shorthair,Outdoor cat or farm cat which is rarely or never indoors,,No,Yes,No,Rural,Halsnæs,Capital Region of Denmark
Cat 25,4 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Rural,Sønderborg,Region of Southern Denmark
Cat 26,1 year,An intact male,Domestic shorthair,Outdoor cat or farm cat which is rarely or never indoors,,Yes,Yes,No,Rural,Viborg,Central Denmark Region
Cat 27,4 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,No,Yes,No,Rural,Næstved,Region Zealand
Cat 28,13 years,A neutered male,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Suburban,Albertslund,Capital Region of Denmark
Cat 29,12 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out during the day and is indoors at night,Yes,No,Yes,Urban,København,Capital Region of Denmark
Cat 30,5 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Suburban,Esbjerg,Region of Southern Denmark
Cat 31,4 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out during the day and is indoors at night,No,Yes,Yes,Suburban,Ballerup,Capital Region of Denmark
Cat 32,11 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Suburban,Fredensborg,Capital Region of Denmark
Cat 33,10 years,A neutered male,Mixed breed,Indoor cat with outdoor access via window or door,The cat is typically let out at night and is indoors during the day,Yes,Yes,No,Rural,Roskilde,Region Zealand
Cat 34,10 years,A neutered female,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,No,Yes,Suburban,Ballerup,Capital Region of Denmark
Cat 35,1 year,A neutered male,Do not know,Indoor cat with outdoor access via window or door,The cat is able to go outside and inside as it pleases at all hours day and night,No,Yes,No,Rural,Faxe,Region Zealand
Cat 36,8 years,A neutered male,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Suburban,Rudersdal,Capital Region of Denmark
Cat 37,16 years,A neutered female,Mixed breed,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Suburban,Rudersdal,Capital Region of Denmark
Cat 38,9 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via window or door,The cat is typically let out at night and is indoors during the day,Yes,Yes,Yes,Suburban,Aarhus,Central Denmark Region
Cat 39,10 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,No,Rural,Gribskov,Capital Region of Denmark
Cat 40,12 years,A neutered male,Domestic shorthair,Indoor cat with outdoor access via cat flap ,The cat is able to go outside and inside as it pleases at all hours day and night,Yes,Yes,Yes,Suburban,Kolding,Region of Southern Denmark
