Cat ID,Recorded locations,Tracking period (days),BBKDE 95% (ha),Percent time away
Cat 01,2344,7,8.95,19.96
Cat 02,2447,7,3.52,17.05
Cat 03,1775,6.9,10.89,38.50
Cat 04,1309,7,7.68,20.42
Cat 05,2031,7,5.03,32.93
Cat 06,1794,7,10.96,45.83
Cat 07,2402,7,4.44,29.46
Cat 08,3248,9.6,13.32,60.91
Cat 09,2125,16.1,3.75,38.73
Cat 10,548,6.6,1.28,9.27
Cat 11,1180,7,1.96,5.32
Cat 12,1555,7.1,1.2,3.55
Cat 13,1552,7,4.8,29.27
Cat 14,823,7.1,2.98,5.78
Cat 15,891,6.9,4.27,8.48
Cat 16,1879,7.1,4.96,14.41
Cat 17,1697,7,19.21,87.62
Cat 18,1185,7,5.23,8.69
Cat 19,2717,7.1,36.8,55.69
Cat 20,2345,7,5.81,28.78
Cat 21,2764,7.1,12.86,49.39
Cat 22,1172,7,11.62,20.18
Cat 23,1063,6.4,2.57,2.29
Cat 24,4081,7.1,4.26,59.55
Cat 25,1995,7,5.15,33.81
Cat 26,1432,7.1,20.66,75.68
Cat 27,1768,6.7,4.32,18.07
Cat 28,1344,6.9,2.89,20.75
Cat 29,4381,6,2.33,6.02
Cat 30,1965,7,3.26,15.90
Cat 31,1551,5.9,8.38,46.48
Cat 32,752,7,6.34,22.92
Cat 33,1021,7,8.28,17.78
Cat 34,1028,7,1.37,2.33
Cat 35,1237,7,17.6,53.21
Cat 36,813,7,2.05,7.41
Cat 37,651,7,1.02,5.37
Cat 38,1316,7,7.7,14.39
Cat 39,1509,7,8.07,36.55
Cat 40,1184,7,1.76,9.04
Cat 41,1706,7,8.5,21.55
Cat 42,1579,7,6.84,33.27
Cat 43,756,10.5,8.96,17.23
Cat 44,1395,5.9,5.28,10.50
Cat 45,1037,7,4.54,17.72
Cat 46,1858,7,6.76,38.61
Cat 47,2134,7,7.26,16.40
Cat 48,2306,7.1,6.53,26.64
Cat 49,1509,7,10.13,60.36
Cat 50,284,7,1.85,19.12
Cat 51,623,7,3.59,12.80
Cat 52,788,7,5.6,11.77
Cat 53,1105,7,19.96,44.31
Cat 54,721,7,10.44,24.36
Cat 55,690,7,6.05,16.57
Cat 56,9023,7,2.97,24.08
Cat 57,11085,7,2.1,12.18
Cat 58,2390,7,1.64,9.48
Cat 59,2437,7,23.26,80.40
Cat 60,1961,7.1,6.32,18.25
Cat 61,678,6.8,11.45,41.48
Cat 62,904,7,7.21,57.60
Cat 63,464,7,3.62,27.02
Cat 64,1044,7,4.83,21.51
Cat 65,623,7.1,1.42,2.26
Cat 66,667,7.1,1.86,3.23
Cat 67,567,6.9,0.97,2.01
Cat 68,2022,6.5,2.53,2.55
Cat 69,1406,6.5,3.24,5.62
Cat 70,716,7.1,1.51,3.07
Cat 71,909,7,105.9,49.46
Cat 72,8703,7.1,11.44,28.14
Cat 73,1429,7,5.25,26.97
Cat 74,422,7.1,1.79,6.67
Cat 75,1606,7,10.78,38.36
Cat 76,1233,7,3.79,39.95
Cat 77,930,7.1,91.25,54.91
Cat 78,898,7,112.59,58.86
Cat 79,1811,7,15.56,23.43
Cat 80,1435,7.2,5,13.64
Cat 81,880,7,6.27,21.74
Cat 82,464,7,3.45,19.62
Cat 83,834,7,20.88,60.59
Cat 84,815,7,7.51,24.34
Cat 85,1161,7,1.01,4.49
Cat 86,1280,7,3.22,12.72
Cat 87,1814,7,1.74,2.05
Cat 88,675,7,16.97,30.82
Cat 89,589,7,13.99,24.89
Cat 90,857,7,2.04,50.52
Cat 91,905,7,1.97,31.85
Cat 92,517,7.1,1.61,1.53
Cat 93,1617,9.4,4.62,22.93
Cat 94,2093,7,12.19,30.63
Cat 95,1347,7,4.75,10.39
Cat 96,508,6.9,12.12,28.81
Cat 97,684,7,1.38,8.48
