RegionID,SizeRank,CountyName,State,Metro,MunicipalCodeFIPS,HomeValue
791,1,Wayne County,MI,"Detroit-Warren-Dearborn, MI",163,83951.26913877304
1950,2,Oakland County,MI,"Detroit-Warren-Dearborn, MI",125,215910.4022197517
1155,3,Macomb County,MI,"Detroit-Warren-Dearborn, MI",99,147780.64783570825
201,4,Kent County,MI,"Grand Rapids-Kentwood, MI",81,172661.90790618598
1721,5,Genesee County,MI,"Flint, MI",49,88020.10796209025
2869,6,Washtenaw County,MI,"Ann Arbor, MI",161,260995.57235306804
1300,7,Ottawa County,MI,"Grand Rapids-Kentwood, MI",139,204983.0300956977
1110,8,Ingham County,MI,"Lansing-East Lansing, MI",65,116272.30482761197
2761,9,Kalamazoo County,MI,"Kalamazoo-Portage, MI",77,151420.12756181564
2959,10,Livingston County,MI,"Detroit-Warren-Dearborn, MI",93,230719.83645143892
2010,11,Saginaw County,MI,"Saginaw, MI",145,77917.71348282912
2449,12,Muskegon County,MI,"Muskegon, MI",121,108877.61943900104
1802,13,Jackson County,MI,"Jackson, MI",75,122391.41661722909
3123,14,St. Clair County,MI,"Detroit-Warren-Dearborn, MI",147,134362.57734892386
1544,15,Berrien County,MI,"Niles, MI",21,153181.9109923686
1220,16,Monroe County,MI,"Monroe, MI",115,163152.89638415226
1575,17,Calhoun County,MI,"Battle Creek, MI",25,91952.90777079757
1513,18,Allegan County,MI,"Holland, MI",5,172946.48741554102
493,19,Eaton County,MI,"Lansing-East Lansing, MI",45,148580.29874984515
68,20,Bay County,MI,"Bay City, MI",17,97744.40093637246
1856,21,Lenawee County,MI,"Adrian, MI",91,130368.99295782328
3240,22,Grand Traverse County,MI,"Traverse City, MI",55,198308.7768621884
1142,23,Lapeer County,MI,"Detroit-Warren-Dearborn, MI",87,161982.34924239502
1929,24,Midland County,MI,"Midland, MI",111,142318.74402063809
1628,25,Clinton County,MI,"Lansing-East Lansing, MI",37,174478.56367211556
2860,26,Van Buren County,MI,,159,157222.1137081656
3031,27,Shiawassee County,MI,"Lansing-East Lansing, MI",155,110696.09819814617
567,28,Ionia County,MI,"Grand Rapids-Kentwood, MI",67,129201.89417227452
2443,29,Montcalm County,MI,"Grand Rapids-Kentwood, MI",117,121585.84643961204
2785,30,Marquette County,MI,"Marquette, MI",103,134894.36738555448
2356,31,Isabella County,MI,"Mount Pleasant, MI",73,132575.05072182312
382,32,Barry County,MI,,15,153939.97492859708
3186,33,St. Joseph County,MI,"Sturgis, MI",149,118806.94134766406
2058,34,Tuscola County,MI,,157,96553.78007582568
110,35,Cass County,MI,"South Bend-Mishawaka, IN-MI",27,159874.06698918875
1944,36,Newaygo County,MI,,123,120108.69471044448
2725,37,Hillsdale County,MI,"Hillsdale, MI",59,117543.50223150132
889,38,Branch County,MI,"Coldwater, MI",23,129974.46879350871
1731,39,Gratiot County,MI,"Alma, MI",57,110571.49939623104
2015,40,Sanilac County,MI,,151,121654.88219401371
1926,41,Mecosta County,MI,"Big Rapids, MI",107,122452.19306796145
2348,42,Houghton County,MI,"Houghton, MI",61,123413.16021446067
2199,43,Chippewa County,MI,"Sault Ste. Marie, MI",33,125567.23638227044
473,44,Delta County,MI,"Escanaba, MI",41,111861.43883975764
501,45,Emmet County,MI,,47,230313.87961505295
2084,46,Wexford County,MI,"Cadillac, MI",165,76597.20424271013
564,47,Huron County,MI,,63,108040.74782258646
437,48,Clare County,MI,,35,82172.11523158448
628,49,Mason County,MI,"Ludington, MI",105,164109.41284606638
827,50,Alpena County,MI,"Alpena, MI",7,114222.04895179596
1274,51,Oceana County,MI,,127,150028.63444101205
2898,52,Charlevoix County,MI,,29,197918.924448196
2683,53,Dickinson County,MI,"Iron Mountain, MI-WI",43,96120.21176016396
2653,54,Cheboygan County,MI,,31,141558.90949060922
1725,55,Gladwin County,MI,,51,97440.1375978077
568,56,Iosco County,MI,,69,94120.15441580307
1297,57,Otsego County,MI,,137,136112.34699363666
2400,58,Manistee County,MI,,101,126590.05659177562
2797,59,Menominee County,MI,"Marinette, WI-MI",109,99697.38273346506
2838,60,Roscommon County,MI,,143,80348.60788597092
833,61,Antrim County,MI,,9,164720.9200814613
1959,62,Osceola County,MI,,133,97532.91120815204
1278,64,Ogemaw County,MI,,129,87996.66843290957
873,65,Benzie County,MI,"Traverse City, MI",19,214001.61623972093
2362,66,Kalkaska County,MI,"Traverse City, MI",79,109256.54104581905
2806,67,Missaukee County,MI,"Cadillac, MI",113,144905.65459549302
836,68,Arenac County,MI,,11,90821.008297953
1726,69,Gogebic County,MI,,53,80502.72217804554
2232,70,Crawford County,MI,,39,80890.2675777371
3180,71,Presque Isle County,MI,,141,150141.44725898685
222,72,Lake County,MI,,85,139446.091837323
191,73,Iron County,MI,,71,89707.65974647058
2395,74,Mackinac County,MI,,97,127374.74012512992
825,75,Alcona County,MI,,1,145478.1312931693
3106,76,Montmorency County,MI,,119,99150.06156681932
366,77,Alger County,MI,,3,153622.9554840715
847,78,Baraga County,MI,,13,120571.60050941496
1295,79,Oscoda County,MI,,135,110268.49523569069
3138,80,Schoolcraft County,MI,,153,115006.99726690158
2819,81,Ontonagon County,MI,,131,78088.28061918073
242,82,Luce County,MI,,95,98639.9173025638
2366,83,Keweenaw County,MI,"Houghton, MI",83,133189.93510982464
